# Angstrom [air],  flux [abs.cor.cont.sub+1]
       6560.1928       1.2022085
       6560.2103       1.2058734
       6560.2277       1.2092189
       6560.2451       1.2121565
       6560.2625       1.2146563
       6560.2799       1.2167365
       6560.2973       1.2184437
       6560.3147       1.2198375
       6560.3321       1.2209845
       6560.3495       1.2219668
       6560.3670       1.2228974
       6560.3844       1.2239313
       6560.4018       1.2252550
       6560.4192       1.2270433
       6560.4366       1.2294058
       6560.4540       1.2323346
       6560.4714       1.2356896
       6560.4888       1.2392346
       6560.5062       1.2427121
       6560.5237       1.2459211
       6560.5411       1.2487594
       6560.5585       1.2512118
       6560.5759       1.2533022
       6560.5933       1.2550435
       6560.6107       1.2564219
       6560.6281       1.2574243
       6560.6455       1.2580902
       6560.6629       1.2585488
       6560.6804       1.2590150
       6560.6978       1.2597357
       6560.7152       1.2609114
       6560.7326       1.2626316
       6560.7500       1.2648572
       6560.7674       1.2674636
       6560.7848       1.2703214
       6560.8022       1.2733775
       6560.8196       1.2766930
       6560.8371       1.2804192
       6560.8545       1.2847218
       6560.8719       1.2896880
       6560.8893       1.2952586
       6560.9067       1.3012120
       6560.9241       1.3072054
       6560.9415       1.3128554
       6560.9589       1.3178337
       6560.9763       1.3219525
       6560.9938       1.3252213
       6561.0112       1.3278628
       6561.0286       1.3302775
       6561.0460       1.3329616
       6561.0634       1.3363708
       6561.0808       1.3407882
       6561.0982       1.3462333
       6561.1156       1.3524483
       6561.1330       1.3589761
       6561.1504       1.3653085
       6561.1679       1.3710496
       6561.1853       1.3760316
       6561.2027       1.3803410
       6561.2201       1.3842518
       6561.2375       1.3881018
       6561.2549       1.3921717
       6561.2723       1.3966179
       6561.2897       1.4014797
       6561.3071       1.4067455
       6561.3246       1.4124327
       6561.3420       1.4186379
       6561.3594       1.4255286
       6561.3768       1.4332834
       6561.3942       1.4420096
       6561.4116       1.4516789
       6561.4290       1.4621093
       6561.4464       1.4729998
       6561.4638       1.4840044
       6561.4813       1.4948188
       6561.4987       1.5052554
       6561.5161       1.5152884
       6561.5335       1.5250614
       6561.5509       1.5348544
       6561.5683       1.5450191
       6561.5857       1.5558954
       6561.6031       1.5677356
       6561.6205       1.5806611
       6561.6380       1.5946644
       6561.6554       1.6096525
       6561.6728       1.6255067
       6561.6902       1.6421308
       6561.7076       1.6594608
       6561.7250       1.6774440
       6561.7424       1.6959949
       6561.7598       1.7149520
       6561.7772       1.7340599
       6561.7947       1.7529910
       6561.8121       1.7714089
       6561.8295       1.7890537
       6561.8469       1.8058177
       6561.8643       1.8217751
       6561.8817       1.8371450
       6561.8991       1.8521999
       6561.9165       1.8671589
       6561.9339       1.8821172
       6561.9514       1.8970445
       6561.9688       1.9118452
       6561.9862       1.9264417
       6562.0036       1.9408303
       6562.0210       1.9550806
       6562.0384       1.9692851
       6562.0558       1.9834938
       6562.0732       1.9976782
       6562.0906       2.0117453
       6562.1081       2.0255948
       6562.1255       2.0391850
       6562.1429       2.0525718
       6562.1603       2.0659030
       6562.1777       2.0793750
       6562.1951       2.0931779
       6562.2125       2.1074521
       6562.2299       2.1222674
       6562.2473       2.1376177
       6562.2648       2.1534237
       6562.2822       2.1695439
       6562.2996       2.1858071
       6562.3170       2.2020721
       6562.3344       2.2183039
       6562.3518       2.2346322
       6562.3692       2.2513355
       6562.3866       2.2687639
       6562.4040       2.2872050
       6562.4215       2.3067623
       6562.4389       2.3272981
       6562.4563       2.3484652
       6562.4737       2.3698086
       6562.4911       2.3908890
       6562.5085       2.4113815
       6562.5259       2.4311190
       6562.5433       2.4500802
       6562.5607       2.4683401
       6562.5782       2.4860113
       6562.5956       2.5031960
       6562.6130       2.5199626
       6562.6304       2.5363433
       6562.6478       2.5523408
       6562.6652       2.5679276
       6562.6826       2.5830334
       6562.7000       2.5975249
       6562.7174       2.6111954
       6562.7349       2.6237796
       6562.7523       2.6349959
       6562.7697       2.6446053
       6562.7871       2.6524620
       6562.8045       2.6585329
       6562.8219       2.6628757
       6562.8393       2.6655802
       6562.8567       2.6666979
       6562.8741       2.6661844
       6562.8915       2.6638733
       6562.9090       2.6594863
       6562.9264       2.6526711
       6562.9438       2.6430616
       6562.9612       2.6303565
       6562.9786       2.6144127
       6562.9960       2.5953301
       6563.0134       2.5735531
       6563.0308       2.5498476
       6563.0482       2.5252087
       6563.0657       2.5007067
       6563.0831       2.4772927
       6563.1005       2.4556280
       6563.1179       2.4359846
       6563.1353       2.4182432
       6563.1527       2.4019828
       6563.1701       2.3866337
       6563.1875       2.3716484
       6563.2049       2.3566457
       6563.2224       2.3414877
       6563.2398       2.3262726
       6563.2572       2.3112496
       6563.2746       2.2966873
       6563.2920       2.2827439
       6563.3094       2.2693856
       6563.3268       2.2563807
       6563.3442       2.2433685
       6563.3616       2.2299710
       6563.3791       2.2159048
       6563.3965       2.2010514
       6563.4139       2.1854702
       6563.4313       2.1693580
       6563.4487       2.1529773
       6563.4661       2.1365769
       6563.4835       2.1203218
       6563.5009       2.1042441
       6563.5183       2.0882256
       6563.5358       2.0720193
       6563.5532       2.0553109
       6563.5706       2.0378087
       6563.5880       2.0193309
       6563.6054       1.9998608
       6563.6228       1.9795475
       6563.6402       1.9586557
       6563.6576       1.9374951
       6563.6750       1.9163614
       6563.6925       1.8955043
       6563.7099       1.8751517
       6563.7273       1.8555494
       6563.7447       1.8369888
       6563.7621       1.8197941
